u	b	c
-5.0	-1.50522e-10	1.52341e-11
-5.0	-1.38017e-10	1.36425e-11
-5.0	-1.26875e-10	1.25056e-11
-5.0	-1.15961e-10	1.13687e-11
-5.0	-1.06184e-10	1.02319e-11
-5.0	-9.7089e-11	9.32238e-12
-5.0	-8.86762e-11	8.41288e-12
-5.0	-8.09455e-11	7.27601e-12
-5.0	-7.36695e-11	6.82124e-12
-5.0	-6.70757e-11	5.91174e-12
-4.636363636363637	-3.60957e-12	-1.19372e-12
-4.636363636363637	-2.94877e-12	-1.29319e-12
-4.636363636363637	-2.65034e-12	-1.34293e-12
-4.636363636363637	-1.97177e-12	-1.45307e-12
-4.636363636363637	-1.7586e-12	-1.48859e-12
-4.636363636363637	-1.42642e-12	-1.533e-12
-4.636363636363637	-1.29142e-12	-1.533e-12
-4.636363636363637	-1.17596e-12	-1.52057e-12
-4.636363636363637	-9.77891e-13	-1.4806e-12
-4.636363636363637	-7.42965e-13	-1.43619e-12
-4.2727272727272725	-9.88103e-14	-1.53345e-12
-4.2727272727272725	-9.91433e-14	-1.53078e-12
-4.2727272727272725	-9.86993e-14	-1.52823e-12
-4.2727272727272725	-9.77001e-14	-1.52579e-12
-4.2727272727272725	-9.64788e-14	-1.52345e-12
-4.2727272727272725	-9.47025e-14	-1.52068e-12
-4.2727272727272725	-9.21489e-14	-1.51824e-12
-4.2727272727272725	-8.89293e-14	-1.51646e-12
-4.2727272727272725	-8.57097e-14	-1.51524e-12
-4.2727272727272725	-8.249e-14	-1.5138e-12
-3.909090909090909	3.53053e-14	-1.52035e-12
-3.909090909090909	3.97462e-14	-1.52479e-12
-3.909090909090909	4.44091e-14	-1.52856e-12
-3.909090909090909	4.92941e-14	-1.53211e-12
-3.909090909090909	5.46232e-14	-1.53633e-12
-3.909090909090909	5.92863e-14	-1.54055e-12
-3.909090909090909	6.32831e-14	-1.54411e-12
-3.909090909090909	6.79461e-14	-1.54699e-12
-3.909090909090909	7.28311e-14	-1.54943e-12
-3.909090909090909	7.83822e-14	-1.5521e-12
-3.5454545454545454	9.08167e-14	-1.61694e-12
-3.5454545454545454	1.01475e-13	-1.61472e-12
-3.5454545454545454	1.11689e-13	-1.61316e-12
-3.5454545454545454	1.21459e-13	-1.61183e-12
