u	b	c
-5.0	-2.24532e-10	1.92132e-11
-5.0	-2.04751e-10	1.73942e-11
-5.0	-1.8622e-10	1.55752e-11
-5.0	-1.69394e-10	1.40972e-11
-5.0	-1.53819e-10	1.26193e-11
-5.0	-1.39608e-10	1.12551e-11
-5.0	-1.26762e-10	1.01182e-11
-5.0	-1.14824e-10	8.98132e-12
-5.0	-1.04024e-10	7.95813e-12
-5.0	-9.41331e-11	7.04861e-12
-4.636363636363637	-3.41062e-12	-1.36425e-12
-4.636363636363637	-2.95587e-12	-1.36425e-12
-4.636363636363637	-2.61481e-12	-1.36425e-12
-4.636363636363637	-2.27375e-12	-1.47794e-12
-4.636363636363637	-2.04638e-12	-1.47794e-12
-4.636363636363637	-1.819e-12	-1.47794e-12
-4.636363636363637	-1.25056e-12	-1.47794e-12
-4.636363636363637	-8.81076e-13	-1.44951e-12
-4.636363636363637	-7.6739e-13	-1.42109e-12
-4.636363636363637	-6.82124e-13	-1.42109e-12
-4.2727272727272725	7.51624e-13	-1.37568e-12
-4.2727272727272725	8.2712e-13	-1.40777e-12
-4.2727272727272725	8.98507e-13	-1.43197e-12
-4.2727272727272725	9.65124e-13	-1.45096e-12
-4.2727272727272725	1.02263e-12	-1.46539e-12
-4.2727272727272725	1.07215e-12	-1.47605e-12
-4.2727272727272725	1.11278e-12	-1.48326e-12
-4.2727272727272725	1.14542e-12	-1.48793e-12
-4.2727272727272725	1.17007e-12	-1.49137e-12
-4.2727272727272725	1.18573e-12	-1.49392e-12
-3.909090909090909	6.38715e-13	-1.41399e-12
-3.909090909090909	6.37271e-13	-1.41798e-12
-3.909090909090909	6.35606e-13	-1.42209e-12
-3.909090909090909	6.33941e-13	-1.42542e-12
-3.909090909090909	6.3272e-13	-1.4282e-12
-3.909090909090909	6.32164e-13	-1.43064e-12
-3.909090909090909	6.31942e-13	-1.43319e-12
-3.909090909090909	6.31609e-13	-1.4353e-12
-3.909090909090909	6.31609e-13	-1.43664e-12
-3.909090909090909	6.32275e-13	-1.43752e-12
-3.5454545454545454	5.30357e-13	-1.40477e-12
-3.5454545454545454	5.37684e-13	-1.40966e-12
-3.5454545454545454	5.45345e-13	-1.41421e-12
-3.5454545454545454	5.52672e-13	-1.41865e-12
-3.5454545454545454	5.59445e-13	-1.42287e-12
-3.5454545454545454	5.65662e-13	-1.42631e-12
