u	b	c
-5.0	-1.12835e-10	1.04592e-11
-5.0	-1.03285e-10	9.54975e-12
-5.0	-9.44174e-11	8.64026e-12
-5.0	-8.60614e-11	7.7876e-12
-5.0	-7.85012e-11	7.04861e-12
-5.0	-7.13389e-11	6.30965e-12
-5.0	-6.49156e-11	5.68437e-12
-5.0	-5.88334e-11	5.05909e-12
-5.0	-5.33762e-11	4.49066e-12
-5.0	-4.83171e-11	3.97907e-12
-4.636363636363637	1.13688e-13	-9.09502e-13
-4.636363636363637	3.41062e-13	-9.09502e-13
-4.636363636363637	5.11594e-13	-9.09502e-13
-4.636363636363637	6.82124e-13	-9.66345e-13
-4.636363636363637	8.52655e-13	-9.66345e-13
-4.636363636363637	9.66345e-13	-1.02319e-12
-4.636363636363637	1.08003e-12	-1.02319e-12
-4.636363636363637	1.19372e-12	-1.02319e-12
-4.636363636363637	1.30741e-12	-1.02319e-12
-4.636363636363637	1.42109e-12	-1.02319e-12
-4.2727272727272725	2.04638e-12	-1.08003e-12
-4.2727272727272725	2.04638e-12	-1.08003e-12
-4.2727272727272725	2.04638e-12	-1.08003e-12
-4.2727272727272725	2.04638e-12	-1.08003e-12
-4.2727272727272725	2.04638e-12	-1.08003e-12
-4.2727272727272725	2.04638e-12	-1.08003e-12
-4.2727272727272725	2.04638e-12	-1.08003e-12
-4.2727272727272725	2.04638e-12	-1.08003e-12
-4.2727272727272725	2.04638e-12	-1.08003e-12
-4.2727272727272725	2.04638e-12	-1.08003e-12
-3.909090909090909	1.98953e-12	-1.13688e-12
-3.909090909090909	1.98953e-12	-1.13688e-12
-3.909090909090909	1.98953e-12	-1.13688e-12
-3.909090909090909	1.98953e-12	-1.13688e-12
-3.909090909090909	1.98953e-12	-1.13688e-12
-3.909090909090909	2.04638e-12	-1.13688e-12
-3.909090909090909	2.04638e-12	-1.13688e-12
-3.909090909090909	2.04638e-12	-1.13688e-12
-3.909090909090909	2.04638e-12	-1.13688e-12
-3.909090909090909	2.04638e-12	-1.13688e-12
-3.5454545454545454	1.93269e-12	-1.13688e-12
-3.5454545454545454	1.93269e-12	-1.13688e-12
-3.5454545454545454	1.93269e-12	-1.13688e-12
-3.5454545454545454	1.98953e-12	-1.13688e-12
-3.5454545454545454	1.98953e-12	-1.13688e-12
-3.5454545454545454	1.98953e-12	-1.13688e-12
-3.5454545454545454	1.98953e-12	-1.13688e-12
-3.5454545454545454	1.98953e-12	-1.13688e-12
-3.5454545454545454	1.98953e-12	-1.13688e-12
-3.5454545454545454	1.98953e-12	-1.13688e-12
-3.1818181818181817	1.98953e-12	-1.08003e-12
-3.1818181818181817	1.98953e-12	-1.08003e-12
-3.1818181818181817	1.98953e-12	-1.08003e-12
-3.1818181818181817	1.98953e-12	-1.08003e-12
-3.1818181818181817	1.98953e-12	-1.08003e-12
-3.1818181818181817	1.98953e-12	-1.08003e-12
-3.1818181818181817	1.98953e-12	-1.08003e-12
-3.1818181818181817	1.98953e-12	-1.08003e-12
-3.1818181818181817	1.98953e-12	-1.08003e-12
-3.1818181818181817	1.98953e-12	-1.08003e-12
-2.8181818181818183	1.87585e-12	-1.13688e-12
-2.8181818181818183	1.87585e-12	-1.13688e-12
-2.8181818181818183	1.93269e-12	-1.13688e-12
-2.8181818181818183	1.93269e-12	-1.13688e-12
-2.8181818181818183	1.93269e-12	-1.13688e-12
-2.8181818181818183	1.93269e-12	-1.13688e-12
-2.8181818181818183	1.93269e-12	-1.08003e-12
-2.8181818181818183	1.93269e-12	-1.08003e-12
-2.8181818181818183	1.93269e-12	-1.08003e-12
-2.8181818181818183	1.93269e-12	-1.08003e-12
-2.4545454545454546	1.93269e-12	-1.13688e-12
-2.4545454545454546	1.93269e-12	-1.13688e-12
-2.4545454545454546	1.93269e-12	-1.13688e-12
-2.4545454545454546	1.93269e-12	-1.13688e-12
-2.4545454545454546	1.93269e-12	-1.13688e-12
-2.4545454545454546	1.93269e-12	-1.13688e-12
-2.4545454545454546	1.87585e-12	-1.13688e-12
-2.4545454545454546	1.87585e-12	-1.08003e-12
-2.4545454545454546	1.87585e-12	-1.08003e-12
-2.4545454545454546	1.87585e-12	-1.08003e-12
-2.090909090909091	1.70531e-12	-1.08003e-12
-2.090909090909091	1.76215e-12	-1.08003e-12
