u	b	c
-10.0	3.76305e-10	-2.58867e-10
-8.947368421052632	2.60686e-10	-2.525e-10
-7.894736842105264	2.56707e-10	-2.52387e-10
-6.842105263157895	2.54206e-10	-2.50454e-10
-5.7894736842105265	2.5557e-10	-2.51363e-10
-4.736842105263158	2.56479e-10	-2.51363e-10
-3.6842105263157894	2.56252e-10	-2.51363e-10
-2.6315789473684212	2.57161e-10	-2.52273e-10
-1.578947368421053	2.54888e-10	-2.51818e-10
-0.526315789473685	2.55001e-10	-2.53069e-10
0.5263157894736832	2.53296e-10	-2.54206e-10
1.5789473684210513	2.78307e-10	-2.56138e-10
2.6315789473684212	3.03773e-10	-2.56366e-10
3.6842105263157894	3.21281e-10	-2.56479e-10
4.7368421052631575	3.35264e-10	-2.58071e-10
5.789473684210526	3.43904e-10	-2.57957e-10
6.842105263157894	3.50839e-10	-2.57957e-10
7.894736842105264	3.55501e-10	-2.57616e-10
8.94736842105263	3.60275e-10	-2.57957e-10
10.0	3.65732e-10	-2.57957e-10
