u	b	c
-5.0	6.462e-10	-3.75737e-10
-4.333333333333333	5.36264e-10	-3.68688e-10
-3.666666666666667	5.35469e-10	-3.68688e-10
-3.0	5.35355e-10	-3.68461e-10
-2.3333333333333335	5.33877e-10	-3.6812e-10
-1.666666666666667	5.33763e-10	-3.6812e-10
-1.0	5.33991e-10	-3.6812e-10
-0.3333333333333339	5.33877e-10	-3.68688e-10
0.33333333333333304	5.41039e-10	-3.68802e-10
1.0	5.68779e-10	-3.70735e-10
1.666666666666666	6.00384e-10	-3.72781e-10
2.333333333333333	6.29715e-10	-3.746e-10
3.0	6.57568e-10	-3.76419e-10
3.666666666666666	6.78941e-10	-3.77669e-10
4.333333333333332	6.99519e-10	-3.79147e-10
5.0	7.21915e-10	-3.81648e-10
5.666666666666666	7.39195e-10	-3.83126e-10
6.333333333333332	7.54543e-10	-3.83922e-10
7.0	7.70005e-10	-3.84604e-10
