u	b	c
7.0	1.56889e-10	-1.21532e-10
6.333333333333333	5.21826e-10	-1.43815e-10
5.666666666666667	5.02272e-10	-1.42678e-10
5.0	4.46791e-10	-1.3904e-10
4.333333333333334	4.3042e-10	-1.37903e-10
3.666666666666667	4.00066e-10	-1.36539e-10
3.0	4.01544e-10	-1.36994e-10
2.333333333333334	3.80625e-10	-1.35857e-10
1.666666666666667	3.48907e-10	-1.34151e-10
1.0	2.97179e-10	-1.30627e-10
0.3333333333333339	2.44997e-10	-1.26648e-10
-0.33333333333333304	2.01113e-10	-1.24033e-10
-1.0	1.62346e-10	-1.22101e-10
-1.666666666666666	1.55979e-10	-1.21646e-10
-2.333333333333332	1.55752e-10	-1.21418e-10
-3.0	1.56434e-10	-1.21532e-10
-3.666666666666666	1.57343e-10	-1.21873e-10
-4.333333333333332	1.5723e-10	-1.22101e-10
-5.0	1.56889e-10	-1.21418e-10
