u	b	c
-2.0	1.54319e-09	-4.30534e-10
-1.8333333333333333	5.42403e-10	-3.67779e-10
-1.6666666666666667	5.3274e-10	-3.6721e-10
-1.5	5.32172e-10	-3.66983e-10
-1.3333333333333335	5.31603e-10	-3.6721e-10
-1.1666666666666667	5.32058e-10	-3.67438e-10
-1.0	5.32285e-10	-3.67892e-10
-0.8333333333333335	5.33536e-10	-3.68006e-10
-0.6666666666666667	5.35582e-10	-3.6812e-10
-0.5	5.4138e-10	-3.68802e-10
-0.3333333333333335	5.52294e-10	-3.69598e-10
-0.16666666666666674	5.68551e-10	-3.70393e-10
0.0	5.93108e-10	-3.71985e-10
0.16666666666666652	6.20961e-10	-3.73918e-10
0.33333333333333304	6.51998e-10	-3.76192e-10
0.5	6.85535e-10	-3.78693e-10
0.6666666666666665	7.16799e-10	-3.80512e-10
0.833333333333333	7.50905e-10	-3.83013e-10
1.0	7.85125e-10	-3.85741e-10
1.1666666666666665	8.15479e-10	-3.87447e-10
1.333333333333333	8.46175e-10	-3.89493e-10
1.5	8.78916e-10	-3.92108e-10
1.6666666666666665	9.10862e-10	-3.94154e-10
1.833333333333333	9.43722e-10	-3.96428e-10
2.0	9.72825e-10	-3.98247e-10
