u	b	c
2.0	1.55183e-10	-1.21418e-10
1.8333333333333333	2.79785e-10	-1.29604e-10
1.6666666666666667	3.03432e-10	-1.31423e-10
1.5	2.90244e-10	-1.30627e-10
1.3333333333333335	2.76829e-10	-1.29831e-10
1.1666666666666667	2.65688e-10	-1.28808e-10
1.0	2.55229e-10	-1.28012e-10
0.8333333333333335	2.45452e-10	-1.27216e-10
0.6666666666666667	2.32832e-10	-1.26534e-10
0.5	2.22941e-10	-1.25625e-10
0.3333333333333335	2.05319e-10	-1.24943e-10
0.16666666666666674	1.94519e-10	-1.24261e-10
0.0	1.94292e-10	-1.23806e-10
-0.16666666666666652	1.84401e-10	-1.22896e-10
-0.33333333333333304	1.72009e-10	-1.22555e-10
-0.5	1.63596e-10	-1.21873e-10
-0.6666666666666665	1.58935e-10	-1.21759e-10
-0.833333333333333	1.56434e-10	-1.21873e-10
-1.0	1.55979e-10	-1.21532e-10
-1.1666666666666665	1.54842e-10	-1.21418e-10
-1.333333333333333	1.54842e-10	-1.21305e-10
-1.5	1.5416e-10	-1.2085e-10
-1.6666666666666665	1.54501e-10	-1.20964e-10
-1.833333333333333	1.54047e-10	-1.21077e-10
-2.0	1.54047e-10	-1.20964e-10
