u	b	c
-10.0	1.21987e-10	-1.45179e-10
-8.947368421052632	1.2085e-10	-1.46628e-10
-7.894736842105264	1.19827e-10	-1.45946e-10
-6.842105263157895	1.19315e-10	-1.4643e-10
-5.7894736842105265	1.19003e-10	-1.44326e-10
-4.736842105263158	1.18008e-10	-1.412e-10
-3.6842105263157894	1.17354e-10	-1.41513e-10
-2.6315789473684212	1.1653e-10	-1.4066e-10
-1.578947368421053	1.16245e-10	-1.40944e-10
-0.526315789473685	1.13716e-10	-1.39296e-10
0.5263157894736832	1.14938e-10	-1.4245e-10
1.5789473684210513	1.17468e-10	-1.44468e-10
2.6315789473684212	1.19486e-10	-1.4535e-10
3.6842105263157894	1.18292e-10	-1.45378e-10
4.7368421052631575	1.18775e-10	-1.45293e-10
5.789473684210526	1.18377e-10	-1.44099e-10
6.842105263157894	1.16473e-10	-1.42905e-10
7.894736842105264	1.1761e-10	-1.44582e-10
8.94736842105263	1.15762e-10	-1.439e-10
10.0	1.15421e-10	-1.43246e-10
