u	b	c
-5.0	2.417e-10	-2.51818e-10
-4.655172413793103	2.40222e-10	-2.52045e-10
-4.310344827586206	2.40108e-10	-2.51932e-10
-3.9655172413793105	2.39313e-10	-2.51591e-10
-3.6206896551724137	2.38972e-10	-2.51591e-10
-3.275862068965517	2.38517e-10	-2.51477e-10
-2.9310344827586206	2.37494e-10	-2.52728e-10
-2.586206896551724	2.37039e-10	-2.53182e-10
-2.2413793103448274	2.37494e-10	-2.53523e-10
-1.8965517241379306	2.3647e-10	-2.5341e-10
-1.5517241379310343	2.37039e-10	-2.53637e-10
-1.206896551724138	2.36357e-10	-2.5341e-10
-0.8620689655172411	2.36357e-10	-2.5341e-10
-0.5172413793103443	2.35902e-10	-2.53069e-10
-0.1724137931034484	2.36129e-10	-2.53182e-10
0.1724137931034484	2.37266e-10	-2.53069e-10
0.5172413793103452	2.48294e-10	-2.53296e-10
0.862068965517242	2.61936e-10	-2.54206e-10
1.2068965517241388	2.716e-10	-2.55001e-10
1.5517241379310347	2.78989e-10	-2.55115e-10
1.8965517241379315	2.87288e-10	-2.56025e-10
2.2413793103448283	2.94792e-10	-2.56479e-10
2.586206896551724	2.99794e-10	-2.56593e-10
2.931034482758621	3.05706e-10	-2.57161e-10
3.275862068965518	3.10139e-10	-2.57389e-10
3.6206896551724146	3.1446e-10	-2.57502e-10
3.9655172413793114	3.1787e-10	-2.5773e-10
4.310344827586208	3.22418e-10	-2.57957e-10
4.655172413793103	3.25487e-10	-2.58071e-10
5.0	3.28443e-10	-2.58071e-10
