u	b	c
-5.0	2.1288e-11	-6.45177e-11
-4.583333333333333	4.42528e-11	-6.65001e-11
-4.166666666666667	4.4061e-11	-6.59246e-11
-3.75	4.40112e-11	-6.60809e-11
-3.333333333333333	4.45299e-11	-6.5953e-11
-2.9166666666666665	4.46649e-11	-6.59033e-11
-2.5	4.47431e-11	-6.57754e-11
-2.083333333333333	4.38762e-11	-6.5342e-11
-1.6666666666666665	4.40112e-11	-6.52709e-11
-1.25	4.42741e-11	-6.55693e-11
-0.833333333333333	4.49563e-11	-6.62159e-11
-0.4166666666666661	4.49705e-11	-6.67559e-11
0.0	4.47005e-11	-6.69833e-11
0.41666666666666696	4.45441e-11	-6.66991e-11
0.8333333333333339	4.37057e-11	-6.66138e-11
1.25	4.14462e-11	-6.63083e-11
1.666666666666667	3.82914e-11	-6.63651e-11
2.083333333333334	3.64013e-11	-6.64362e-11
2.5	3.42057e-11	-6.61449e-11
2.916666666666667	3.21168e-11	-6.59459e-11
3.333333333333334	2.82939e-11	-6.5683e-11
3.75	2.53025e-11	-6.5413e-11
4.166666666666668	2.70718e-11	-6.53775e-11
4.583333333333334	2.52741e-11	-6.52212e-11
5.0	2.38033e-11	-6.50506e-11
