u	b	c
-5.0	1.07403e-08	-2.61481e-09
-4.583333333333333	6.1846e-10	-2.07639e-09
-4.166666666666667	6.83944e-10	-2.00272e-09
-3.75	6.41197e-10	-2.03819e-09
-3.333333333333333	5.99361e-10	-2.07366e-09
-2.9166666666666665	5.77533e-10	-2.0873e-09
-2.5	5.73895e-10	-2.09003e-09
-2.083333333333333	5.72076e-10	-2.08821e-09
-1.6666666666666665	5.41153e-10	-2.11459e-09
-1.25	5.41153e-10	-2.11277e-09
-0.833333333333333	5.40243e-10	-2.11914e-09
-0.4166666666666661	5.37515e-10	-2.12732e-09
0.0	6.30283e-10	-2.14278e-09
0.41666666666666696	1.62709e-09	-2.20736e-09
0.8333333333333339	3.16415e-09	-2.29376e-09
1.25	4.38106e-09	-2.36379e-09
1.666666666666667	5.38242e-09	-2.39835e-09
2.083333333333334	6.22825e-09	-2.42927e-09
2.5	6.92765e-09	-2.49567e-09
2.916666666666667	7.60889e-09	-2.53205e-09
3.333333333333334	8.2037e-09	-2.58116e-09
3.75	8.80215e-09	-2.58298e-09
4.166666666666668	9.54702e-09	-2.41018e-09
4.583333333333334	9.87808e-09	-2.59207e-09
5.0	1.02692e-08	-2.65665e-09
