u	b	c
-5.0	2.63541e-11	-1.44809e-10
-4.583333333333333	9.32238e-12	-1.43801e-10
-4.166666666666667	9.18027e-12	-1.4385e-10
-3.75	9.53554e-12	-1.44298e-10
-3.333333333333333	9.24422e-12	-1.43872e-10
-2.9166666666666665	9.21579e-12	-1.44014e-10
-2.5	9.43606e-12	-1.44071e-10
-2.083333333333333	8.95289e-12	-1.44113e-10
-1.6666666666666665	9.44317e-12	-1.43978e-10
-1.25	9.59949e-12	-1.43999e-10
-0.833333333333333	9.68475e-12	-1.43843e-10
-0.4166666666666661	9.3579e-12	-1.43815e-10
0.0	9.36501e-12	-1.43801e-10
0.41666666666666696	1.04521e-11	-1.43836e-10
0.8333333333333339	1.25127e-11	-1.44014e-10
1.25	1.4488e-11	-1.44149e-10
1.666666666666667	1.69181e-11	-1.44042e-10
2.083333333333334	1.83676e-11	-1.44092e-10
2.5	1.93127e-11	-1.44355e-10
2.916666666666667	2.04282e-11	-1.44433e-10
3.333333333333334	2.16006e-11	-1.44554e-10
3.75	2.26593e-11	-1.4444e-10
4.166666666666668	2.38033e-11	-1.44525e-10
4.583333333333334	2.4457e-11	-1.4471e-10
5.0	2.51249e-11	-1.44461e-10
