u	b	c
-2.0	6.59386e-12	-1.00159e-10
-2.0	6.65071e-12	-9.9988e-11
-2.0	6.70755e-12	-9.99312e-11
-2.0	6.70755e-12	-9.99312e-11
-2.0	6.65071e-12	-1.00045e-10
-2.0	6.53702e-12	-1.00215e-10
-2.0	6.42333e-12	-1.00329e-10
-2.0	6.2528e-12	-1.00556e-10
-2.0	6.19596e-12	-1.00727e-10
-2.0	6.08227e-12	-1.00898e-10
-1.793103448275862	5.457e-12	-1.02773e-10
-1.793103448275862	5.457e-12	-1.02717e-10
-1.793103448275862	5.457e-12	-1.02603e-10
-1.793103448275862	5.457e-12	-1.02546e-10
-1.793103448275862	5.457e-12	-1.02432e-10
-1.793103448275862	5.40015e-12	-1.02375e-10
-1.793103448275862	5.34331e-12	-1.02319e-10
-1.793103448275862	5.34331e-12	-1.02262e-10
-1.793103448275862	5.34331e-12	-1.02262e-10
-1.793103448275862	5.34331e-12	-1.02205e-10
-1.5862068965517242	5.22962e-12	-1.02887e-10
-1.5862068965517242	5.22962e-12	-1.02944e-10
-1.5862068965517242	5.22962e-12	-1.02944e-10
-1.5862068965517242	5.22962e-12	-1.02944e-10
-1.5862068965517242	5.22962e-12	-1.02887e-10
-1.5862068965517242	5.22962e-12	-1.0283e-10
-1.5862068965517242	5.22962e-12	-1.0283e-10
-1.5862068965517242	5.22962e-12	-1.02773e-10
-1.5862068965517242	5.28647e-12	-1.02773e-10
-1.5862068965517242	5.28647e-12	-1.02773e-10
-1.3793103448275863	5.28647e-12	-1.0283e-10
-1.3793103448275863	5.34331e-12	-1.02887e-10
-1.3793103448275863	5.34331e-12	-1.02887e-10
-1.3793103448275863	5.34331e-12	-1.02887e-10
-1.3793103448275863	5.34331e-12	-1.0283e-10
-1.3793103448275863	5.34331e-12	-1.02773e-10
-1.3793103448275863	5.34331e-12	-1.02773e-10
-1.3793103448275863	5.34331e-12	-1.02717e-10
-1.3793103448275863	5.34331e-12	-1.0266e-10
-1.3793103448275863	5.28647e-12	-1.02603e-10
-1.1724137931034484	5.05909e-12	-1.02262e-10
-1.1724137931034484	5.05909e-12	-1.02205e-10
-1.1724137931034484	5.11594e-12	-1.02205e-10
-1.1724137931034484	5.17278e-12	-1.02205e-10
-1.1724137931034484	5.22962e-12	-1.02148e-10
