u	b	c
-2.0	5.22962e-12	-9.83964e-11
-2.0	5.22962e-12	-9.83396e-11
-2.0	5.22962e-12	-9.82827e-11
-2.0	5.22962e-12	-9.82259e-11
-2.0	5.28647e-12	-9.8169e-11
-2.0	5.28647e-12	-9.81122e-11
-2.0	5.28647e-12	-9.79985e-11
-2.0	5.28647e-12	-9.79985e-11
-2.0	5.28647e-12	-9.79985e-11
-2.0	5.22962e-12	-9.79985e-11
-1.793103448275862	5.34331e-12	-9.76574e-11
-1.793103448275862	5.34331e-12	-9.76574e-11
-1.793103448275862	5.34331e-12	-9.76574e-11
-1.793103448275862	5.34331e-12	-9.76574e-11
-1.793103448275862	5.34331e-12	-9.77143e-11
-1.793103448275862	5.34331e-12	-9.77143e-11
-1.793103448275862	5.34331e-12	-9.77143e-11
-1.793103448275862	5.40015e-12	-9.77711e-11
-1.793103448275862	5.457e-12	-9.77711e-11
-1.793103448275862	5.457e-12	-9.77143e-11
-1.5862068965517242	5.457e-12	-9.76574e-11
-1.5862068965517242	5.51384e-12	-9.77143e-11
-1.5862068965517242	5.51384e-12	-9.77143e-11
-1.5862068965517242	5.51384e-12	-9.77143e-11
-1.5862068965517242	5.457e-12	-9.77143e-11
-1.5862068965517242	5.457e-12	-9.77143e-11
-1.5862068965517242	5.40015e-12	-9.77143e-11
-1.5862068965517242	5.457e-12	-9.76574e-11
-1.5862068965517242	5.457e-12	-9.76006e-11
-1.5862068965517242	5.457e-12	-9.76006e-11
-1.3793103448275863	5.22962e-12	-9.77143e-11
-1.3793103448275863	5.22962e-12	-9.77143e-11
-1.3793103448275863	5.17278e-12	-9.77143e-11
-1.3793103448275863	5.17278e-12	-9.76574e-11
-1.3793103448275863	5.22962e-12	-9.76006e-11
-1.3793103448275863	5.28647e-12	-9.75438e-11
-1.3793103448275863	5.28647e-12	-9.75438e-11
-1.3793103448275863	5.28647e-12	-9.75438e-11
-1.3793103448275863	5.34331e-12	-9.76006e-11
-1.3793103448275863	5.40015e-12	-9.76006e-11
-1.1724137931034484	5.51384e-12	-9.73164e-11
-1.1724137931034484	5.457e-12	-9.73164e-11
-1.1724137931034484	5.457e-12	-9.73164e-11
-1.1724137931034484	5.457e-12	-9.73164e-11
