u	b	c
-5.0	2.77113e-11	-1.33981e-10
-5.0	2.77113e-11	-1.33981e-10
-5.0	2.77397e-11	-1.33924e-10
-5.0	2.77681e-11	-1.33867e-10
-5.0	2.7825e-11	-1.33867e-10
-5.0	2.78818e-11	-1.33924e-10
-5.0	2.79102e-11	-1.33981e-10
-5.0	2.79387e-11	-1.34009e-10
-5.0	2.79387e-11	-1.33981e-10
-5.0	2.79387e-11	-1.33867e-10
-4.636363636363637	2.77397e-11	-1.34578e-10
-4.636363636363637	2.77965e-11	-1.34521e-10
-4.636363636363637	2.7825e-11	-1.34464e-10
-4.636363636363637	2.7825e-11	-1.3435e-10
-4.636363636363637	2.7825e-11	-1.34265e-10
-4.636363636363637	2.77965e-11	-1.34151e-10
-4.636363636363637	2.77965e-11	-1.34009e-10
-4.636363636363637	2.77965e-11	-1.33896e-10
-4.636363636363637	2.7825e-11	-1.33753e-10
-4.636363636363637	2.7825e-11	-1.3364e-10
-4.2727272727272725	2.79102e-11	-1.33356e-10
-4.2727272727272725	2.78534e-11	-1.33384e-10
-4.2727272727272725	2.77965e-11	-1.33412e-10
-4.2727272727272725	2.77113e-11	-1.33412e-10
-4.2727272727272725	2.76829e-11	-1.33412e-10
-4.2727272727272725	2.76544e-11	-1.33384e-10
-4.2727272727272725	2.76544e-11	-1.33356e-10
-4.2727272727272725	2.76544e-11	-1.33356e-10
-4.2727272727272725	2.7626e-11	-1.33356e-10
-4.2727272727272725	2.75976e-11	-1.33356e-10
-3.909090909090909	2.73134e-11	-1.31736e-10
-3.909090909090909	2.73134e-11	-1.31679e-10
-3.909090909090909	2.73418e-11	-1.31593e-10
-3.909090909090909	2.73418e-11	-1.31508e-10
-3.909090909090909	2.73418e-11	-1.3148e-10
-3.909090909090909	2.73418e-11	-1.31451e-10
-3.909090909090909	2.73134e-11	-1.31451e-10
-3.909090909090909	2.7285e-11	-1.31451e-10
-3.909090909090909	2.72565e-11	-1.31508e-10
-3.909090909090909	2.72565e-11	-1.31593e-10
-3.5454545454545454	2.73134e-11	-1.31878e-10
-3.5454545454545454	2.73134e-11	-1.31792e-10
-3.5454545454545454	2.72565e-11	-1.31707e-10
-3.5454545454545454	2.72281e-11	-1.3165e-10
-3.5454545454545454	2.72281e-11	-1.31593e-10
-3.5454545454545454	2.71997e-11	-1.31565e-10
-3.5454545454545454	2.71713e-11	-1.31565e-10
-3.5454545454545454	2.71713e-11	-1.31565e-10
-3.5454545454545454	2.71428e-11	-1.31508e-10
-3.5454545454545454	2.71428e-11	-1.31451e-10
-3.1818181818181817	2.71997e-11	-1.32787e-10
-3.1818181818181817	2.71713e-11	-1.32787e-10
-3.1818181818181817	2.71428e-11	-1.32759e-10
-3.1818181818181817	2.71144e-11	-1.32702e-10
-3.1818181818181817	2.7086e-11	-1.32645e-10
-3.1818181818181817	2.70576e-11	-1.32617e-10
-3.1818181818181817	2.7086e-11	-1.3256e-10
-3.1818181818181817	2.71144e-11	-1.32503e-10
-3.1818181818181817	2.71428e-11	-1.32418e-10
-3.1818181818181817	2.71428e-11	-1.32332e-10
-2.8181818181818183	2.71713e-11	-1.30684e-10
-2.8181818181818183	2.71713e-11	-1.30741e-10
-2.8181818181818183	2.71713e-11	-1.30826e-10
-2.8181818181818183	2.71997e-11	-1.30911e-10
-2.8181818181818183	2.72281e-11	-1.31025e-10
-2.8181818181818183	2.72281e-11	-1.3111e-10
-2.8181818181818183	2.72281e-11	-1.31224e-10
-2.8181818181818183	2.72281e-11	-1.31309e-10
-2.8181818181818183	2.71997e-11	-1.31394e-10
-2.8181818181818183	2.71713e-11	-1.3148e-10
-2.4545454545454546	2.71144e-11	-1.31281e-10
-2.4545454545454546	2.71144e-11	-1.31366e-10
-2.4545454545454546	2.71144e-11	-1.31394e-10
-2.4545454545454546	2.71428e-11	-1.31366e-10
-2.4545454545454546	2.71713e-11	-1.31338e-10
-2.4545454545454546	2.71997e-11	-1.31309e-10
-2.4545454545454546	2.72281e-11	-1.31309e-10
-2.4545454545454546	2.72281e-11	-1.31366e-10
-2.4545454545454546	2.72565e-11	-1.31394e-10
-2.4545454545454546	2.72565e-11	-1.31394e-10
-2.090909090909091	2.72281e-11	-1.31366e-10
-2.090909090909091	2.72565e-11	-1.31451e-10
-2.090909090909091	2.73134e-11	-1.31508e-10
-2.090909090909091	2.73134e-11	-1.31537e-10
-2.090909090909091	2.73418e-11	-1.31593e-10
-2.090909090909091	2.73418e-11	-1.31593e-10
-2.090909090909091	2.73702e-11	-1.31565e-10
-2.090909090909091	2.73702e-11	-1.31537e-10
-2.090909090909091	2.73702e-11	-1.31508e-10
-2.090909090909091	2.74271e-11	-1.31537e-10
-1.727272727272727	2.72565e-11	-1.31736e-10
-1.727272727272727	2.72565e-11	-1.31622e-10
-1.727272727272727	2.73134e-11	-1.31508e-10
-1.727272727272727	2.73418e-11	-1.31366e-10
-1.727272727272727	2.73418e-11	-1.31252e-10
-1.727272727272727	2.73418e-11	-1.31167e-10
-1.727272727272727	2.73418e-11	-1.3111e-10
-1.727272727272727	2.73418e-11	-1.31082e-10
-1.727272727272727	2.73702e-11	-1.31082e-10
-1.727272727272727	2.74271e-11	-1.31167e-10
-1.3636363636363633	2.75976e-11	-1.30684e-10
-1.3636363636363633	2.75976e-11	-1.30627e-10
-1.3636363636363633	2.75407e-11	-1.30599e-10
-1.3636363636363633	2.75407e-11	-1.30599e-10
-1.3636363636363633	2.75123e-11	-1.30542e-10
-1.3636363636363633	2.75123e-11	-1.30513e-10
-1.3636363636363633	2.75123e-11	-1.30428e-10
-1.3636363636363633	2.75123e-11	-1.304e-10
-1.3636363636363633	2.74555e-11	-1.30371e-10
-1.3636363636363633	2.74271e-11	-1.30343e-10
-1.0	2.76544e-11	-1.30599e-10
-1.0	2.76544e-11	-1.30599e-10
-1.0	2.76544e-11	-1.30627e-10
-1.0	2.7626e-11	-1.30627e-10
-1.0	2.7626e-11	-1.30627e-10
-1.0	2.75976e-11	-1.3057e-10
