voltage,x,y,r
-1.0,2.46204e-12,-1.47438e-13,2.466450673628808e-12
-0.9724137931034482,2.44073e-12,-2.25598e-13,2.4511338989341238e-12
-0.9448275862068966,2.25155e-12,-1.63426e-13,2.2574732467907564e-12
-0.9172413793103448,2.18937e-12,-1.57208e-13,2.195006913921685e-12
-0.8896551724137931,2.14319e-12,-4.06787e-13,2.181453423630447e-12
-0.8620689655172413,2.01529e-12,-3.81918e-13,2.0511594630413308e-12
-0.8344827586206897,1.81678e-12,-2.17605e-13,1.829765423333002e-12
-0.8068965517241379,1.77503e-12,-5.7732e-14,1.7759686046560619e-12
-0.7793103448275862,1.68311e-12,-2.09611e-13,1.6961120374023057e-12
-0.7517241379310344,1.52146e-12,-2.92657e-13,1.54935104196854e-12
-0.7241379310344827,1.27854e-12,-2.93989e-13,1.3119047464358835e-12
-0.696551724137931,1.0636e-12,-1.954e-13,1.081400073978174e-12
-0.6689655172413793,8.47992e-13,5.68439e-14,8.49895088249844e-13
-0.6413793103448275,3.64599e-13,1.64314e-14,3.649690695209116e-13
-0.6137931034482758,1.56542e-13,-2.74005e-13,3.15569545091094e-13
-0.5862068965517241,-2.42919e-13,1.82966e-13,3.041154348549248e-13
-0.5586206896551724,-6.97446e-13,1.55654e-13,7.146041496045206e-13
-0.5310344827586206,-1.16707e-12,2.46915e-13,1.1929037690128236e-12
-0.5034482758620689,-1.83277e-12,3.25963e-13,1.8615310231819938e-12
-0.4758620689655172,-2.2269e-12,-5.44011e-14,2.2275643850809813e-12
-0.4482758620689654,-2.72606e-12,2.00063e-13,2.7333913601182327e-12
-0.42068965517241375,-3.57538e-12,4.62522e-13,3.6051724986308217e-12
-0.39310344827586197,-4.32701e-12,1.28787e-13,4.3289261522309425e-12
-0.3655172413793103,-5.04843e-12,1.54766e-13,5.050801716525407e-12
-0.3379310344827585,-5.77274e-12,5.06265e-13,5.7948970101137255e-12
-0.31034482758620685,-6.62229e-12,7.94923e-13,6.669829639505719e-12
-0.28275862068965507,-7.70456e-12,4.14781e-13,7.715716951234085e-12
-0.2551724137931034,-8.90049e-12,6.93227e-13,8.92744565447637e-12
-0.22758620689655162,-9.81087e-12,9.64125e-13,9.858128989444446e-12
-0.2,-1.12444e-11,1.30474e-12,1.1319844425945084e-11
