voltage,x,y,r
-1.0,2.66988e-12,-3.3218e-13,2.6904651580721127e-12
-0.9724137931034482,2.70185e-12,-2.66455e-13,2.7149570327216966e-12
-0.9448275862068966,2.52422e-12,-3.64155e-14,2.524482659286898e-12
-0.9172413793103448,2.37589e-12,-2.89548e-13,2.3934684740777346e-12
-0.8896551724137931,2.4354e-12,-2.54021e-13,2.4486118166097704e-12
-0.8620689655172413,2.21513e-12,-5.41791e-14,2.215792474889472e-12
-0.8344827586206897,1.9469e-12,-1.23458e-13,1.950810469462372e-12
-0.8068965517241379,1.89361e-12,-2.38478e-13,1.9085676798541883e-12
-0.7793103448275862,1.79457e-12,-2.6912e-13,1.8146368946155591e-12
-0.7517241379310344,1.60805e-12,-9.10387e-14,1.610624986580579e-12
-0.7241379310344827,1.32606e-12,1.26122e-13,1.3320442494466914e-12
-0.696551724137931,1.08225e-12,1.14576e-13,1.0882980852119514e-12
-0.6689655172413793,5.6e-13,3.3751e-14,5.610161584134632e-13
-0.6413793103448275,5.37351e-13,6.66138e-14,5.414642144698392e-13
-0.6137931034482758,1.2701e-13,1.66756e-13,2.0961656336272666e-13
-0.5862068965517241,-3.51498e-13,8.83742e-14,3.624373645606093e-13
-0.5586206896551724,-9.38145e-13,1.90515e-13,9.57294106453184e-13
-0.5310344827586206,-1.49081e-12,2.65123e-13,1.5142009976317542e-12
-0.5034482758620689,-2.10455e-12,3.7992e-13,2.138567256108631e-12
-0.4758620689655172,-2.76203e-12,4.14337e-13,2.792934813143515e-12
-0.4482758620689654,-3.42994e-12,3.15971e-13,3.444463104235695e-12
-0.42068965517241375,-4.14893e-12,1.69643e-13,4.152396764803311e-12
-0.39310344827586197,-4.80663e-12,3.01316e-13,4.816065125053439e-12
-0.3655172413793103,-5.48009e-12,7.82933e-13,5.5357357677718866e-12
-0.3379310344827585,-6.56322e-12,5.25361e-13,6.584213009063498e-12
-0.31034482758620685,-7.91284e-12,4.53861e-13,7.92584548631381e-12
-0.28275862068965507,-9.49202e-12,7.70942e-13,9.523276497496227e-12
-0.2551724137931034,-1.04903e-11,1.15642e-12,1.0553847701497307e-11
-0.22758620689655162,-1.21752e-11,1.26921e-12,1.2241175967369311e-11
-0.2,-1.3702e-11,9.98319e-13,1.3738320305836555e-11
