voltage,x,y,r
-7.0,1.59518e-12,-9.55687e-13,1.8595528694740035e-12
-6.775862068965517,1.46195e-12,-1.03429e-12,1.7908248397316808e-12
-6.551724137931035,1.22392e-12,-1.08936e-12,1.6385009539209917e-12
-6.327586206896552,1.08714e-12,-1.12666e-12,1.5656424033603586e-12
-6.103448275862069,9.63236e-13,-1.2026e-12,1.5408018534827896e-12
-5.879310344827586,7.88262e-13,-1.17729e-12,1.4168164047412775e-12
-5.655172413793103,6.35051e-13,-1.26699e-12,1.4172344311019966e-12
-5.431034482758621,4.92498e-13,-1.32561e-12,1.4141414894217622e-12
-5.206896551724138,2.89992e-13,-1.39311e-12,1.4229725338754785e-12
-4.982758620689655,8.21569e-14,-1.38068e-12,1.3831221994522428e-12
-4.758620689655173,-1.37669e-13,-1.53478e-12,1.5409420501631463e-12
-4.5344827586206895,-5.27581e-13,-1.62804e-12,1.711390064585219e-12
-4.310344827586206,-1.14265e-12,-1.7173e-12,2.0627089742617595e-12
-4.086206896551724,-1.64802e-12,-1.95223e-12,2.5548330460717e-12
-3.862068965517241,-2.2622e-12,-2.05126e-12,3.0537217338192424e-12
-3.6379310344827585,-3.01227e-12,-2.27997e-12,3.777834532347863e-12
-3.413793103448276,-3.82452e-12,-2.44695e-12,4.540321302826487e-12
-3.189655172413793,-4.74601e-12,-2.85684e-12,5.53950771329908e-12
-2.9655172413793105,-5.83714e-12,-3.22455e-12,6.668577515640048e-12
-2.7413793103448274,-6.91316e-12,-3.63488e-12,7.81051431085047e-12
-2.517241379310345,-8.23258e-12,-4.08876e-12,9.192025445678444e-12
-2.293103448275862,-9.80732e-12,-4.83083e-12,1.0932540604603306e-11
-2.068965517241379,-1.12826e-11,-5.60177e-12,1.2596701548139497e-11
-1.8448275862068968,-1.28627e-11,-6.4784e-12,1.4402038669924476e-11
-1.6206896551724137,-1.48123e-11,-7.76362e-12,1.6723576973674025e-11
-1.3965517241379306,-1.67325e-11,-9.04349e-12,1.9020022808348572e-11
-1.1724137931034484,-1.87709e-11,-1.05392e-11,2.15272251683769e-11
-0.9482758620689653,-2.0668e-11,-1.18732e-11,2.3835668697143787e-11
-0.7241379310344822,-2.37571e-11,-1.29621e-11,2.7063182311398636e-11
-0.5,-2.99976e-11,-1.34933e-11,3.2892630643504326e-11
