voltage,x,y,r
-5.0,4.50308e-13,-8.94399e-13,1.001362504822804e-12
-4.844827586206897,4.2988e-13,-8.55763e-13,9.576675449074172e-13
-4.689655172413793,6.58366e-13,-9.6146e-13,1.1652686907130046e-12
-4.5344827586206895,6.3927e-13,-8.0114e-13,1.0249348430510107e-12
-4.379310344827586,4.30324e-13,-8.40442e-13,9.442041624246316e-13
-4.224137931034483,3.76811e-13,-8.9884e-13,9.746280702509034e-13
-4.068965517241379,3.75257e-13,-9.18383e-13,9.92091301613919e-13
-3.913793103448276,3.00206e-13,-7.09436e-13,7.703395878000818e-13
-3.7586206896551726,3.62379e-13,-8.38666e-13,9.136077928723025e-13
-3.603448275862069,4.64299e-13,-9.3104e-13,1.040388890271806e-12
-3.4482758620689653,5.23585e-13,-7.32751e-13,9.005916278902441e-13
-3.293103448275862,1.49659e-13,-1.0092e-12,1.020236470765969e-12
-3.1379310344827585,1.12133e-13,-7.16097e-13,7.248232357602783e-13
-2.9827586206896552,8.2379e-14,-9.57463e-13,9.610003621279235e-13
-2.8275862068965516,3.00206e-13,-9.88105e-13,1.0327028292112886e-12
-2.6724137931034484,1.99619e-13,-5.62664e-13,5.970247248288802e-13
-2.5172413793103448,-6.21728e-15,-8.53321e-13,8.533436491892339e-13
-2.362068965517241,1.09024e-13,-5.97303e-13,6.071713978647215e-13
-2.206896551724138,-1.51435e-13,-9.15719e-13,9.281561539881101e-13
-2.0517241379310343,-1.46994e-13,-4.54751e-13,4.779180976244779e-13
-1.896551724137931,-3.2996e-13,-4.02347e-13,5.20342877350118e-13
-1.7413793103448274,-2.60682e-13,-4.31656e-13,5.042638272372905e-13
-1.5862068965517242,-3.10198e-13,-5.05155e-13,5.927937020827735e-13
-1.4310344827586206,-6.11514e-13,-4.07009e-13,7.345785855012382e-13
-1.275862068965517,-8.85295e-13,-3.99238e-13,9.711530351437923e-13
-1.1206896551724137,-2.54953e-12,-4.44313e-13,2.587956194155728e-12
-0.9655172413793105,-3.0216e-12,-1.49881e-13,3.0253150041212237e-12
-0.8103448275862064,-1.94912e-12,-5.77319e-13,2.0328221767191053e-12
-0.6551724137931032,-4.52618e-12,1.01142e-12,4.63780937607401e-12
-0.5,-4.79441e-12,-3.2774e-13,4.805598896672505e-12
