voltage,x,y,r
-2.5,8.34892e-14,-8.10022e-13,8.143132609755535e-13
-2.413793103448276,-2.84219e-14,-9.64569e-13,9.649876476725544e-13
-2.3275862068965516,1.36114e-13,-8.11132e-13,8.224731864443971e-13
-2.2413793103448274,1.80967e-13,-7.06993e-13,7.297863777421445e-13
-2.155172413793103,2.08723e-14,-6.42156e-13,6.424951215715882e-13
-2.0689655172413794,1.34338e-13,-8.83297e-13,8.934541333795484e-13
-1.9827586206896552,3.46392e-14,-7.56287e-13,7.570798508384964e-13
-1.896551724137931,-2.47137e-13,-7.89372e-13,8.271546718437853e-13
-1.8103448275862069,-2.66455e-15,-8.59316e-13,8.593201310819517e-13
-1.7241379310344827,5.3513e-14,-7.60062e-13,7.619434920077735e-13
-1.6379310344827585,2.56463e-13,-8.85961e-13,9.223340847491217e-13
-1.5517241379310345,1.65868e-13,-7.685e-13,7.861961863453677e-13
-1.4655172413793103,1.19239e-13,-9.38145e-13,9.4569232848004e-13
-1.379310344827586,9.21489e-14,-7.94257e-13,7.995846433118947e-13
-1.293103448275862,1.41665e-13,-8.06469e-13,8.1881696378739e-13
-1.206896551724138,-2.97542e-14,-8.38888e-13,8.394155043610048e-13
-1.1206896551724137,5.72879e-14,-8.39776e-13,8.417277669546193e-13
-1.0344827586206895,1.96288e-13,-9.19716e-13,9.404288913043878e-13
-0.9482758620689653,2.44473e-13,-5.56225e-13,6.075798699381012e-13
-0.8620689655172413,1.04139e-13,-8.81965e-13,8.880918829411741e-13
-0.7758620689655171,2.33149e-13,-8.32449e-13,8.644823848997734e-13
-0.6896551724137929,1.1391e-13,-8.61092e-13,8.685936452473043e-13
-0.603448275862069,1.4544e-13,-5.76653e-13,5.947112543150667e-13
-0.5172413793103448,1.89627e-13,-7.47628e-13,7.713015140092751e-13
-0.43103448275862055,1.02141e-13,-8.67754e-13,8.737446929149269e-13
-0.34482758620689635,5.12925e-14,-8.92179e-13,8.936522190411938e-13
-0.25862068965517215,-5.08484e-14,-7.71831e-13,7.735041385432659e-13
-0.17241379310344795,-3.15306e-14,-8.47104e-13,8.476906072101778e-13
-0.0862068965517242,-1.62094e-14,-7.92037e-13,7.92202849033857e-13
0.0,9.32593e-15,-8.64645e-13,8.646952925715306e-13
