voltage,x,y,r
-2.5,3.29693e-12,-1.42109e-13,3.2999912716219417e-12
-2.413793103448276,2.9159e-12,-2.84219e-14,2.9160385138745356e-12
-2.3275862068965516,2.86972e-12,-1.25234e-13,2.87245129343493e-12
-2.2413793103448274,2.76136e-12,-2.46027e-13,2.7722983847935633e-12
-2.155172413793103,2.52955e-12,2.39809e-14,2.5296636705429457e-12
-2.0689655172413794,2.44783e-12,1.22569e-13,2.4508967478580163e-12
-1.9827586206896552,2.24977e-12,2.72673e-13,2.2662337959330234e-12
-1.896551724137931,2.31372e-12,3.42839e-13,2.3389824322386434e-12
-1.8103448275862069,2.04105e-12,2.53133e-13,2.056687000539703e-12
-1.7241379310344827,1.398e-12,1.46551e-14,1.398076811894114e-12
-1.6379310344827585,1.33405e-12,6.43934e-14,1.3356032017270549e-12
-1.5517241379310345,1.17418e-12,5.99525e-14,1.1757095622032891e-12
-1.4655172413793103,1.73817e-12,-2.06502e-13,1.7503936771206642e-12
-1.379310344827586,1.58185e-12,4.89834e-13,1.6559549420367693e-12
-1.293103448275862,1.21681e-12,8.62869e-13,1.4917002001947307e-12
-1.206896551724138,5.93751e-13,1.00187e-12,1.1645959586487497e-12
-1.1206896551724137,-2.46471e-13,3.31736e-13,4.132756072368656e-13
-1.0344827586206895,-1.18395e-12,3.23299e-13,1.2272977820810239e-12
-0.9482758620689653,-3.06068e-12,-8.7486e-14,3.061930087803443e-12
-0.8620689655172413,-5.99745e-12,-4.13005e-13,6.011653652076523e-12
-0.7758620689655171,-9.93255e-12,-1.77637e-14,9.932565884580765e-12
-0.6896551724137929,-1.58115e-11,1.14576e-13,1.5811915124670257e-11
-0.603448275862069,-2.30519e-11,6.73243e-13,2.3061729114423508e-11
-0.5172413793103448,-3.27527e-11,2.34836e-12,3.283678047524757e-11
-0.43103448275862055,-4.53826e-11,4.69849e-12,4.562517058642192e-11
-0.34482758620689635,-5.82792e-11,4.07144e-12,5.842124422086198e-11
-0.25862068965517215,-7.52149e-11,6.98111e-12,7.553818291991211e-11
-0.17241379310344795,-9.65348e-11,9.13408e-12,9.696596840379825e-11
-0.0862068965517242,-1.20381e-10,1.1859e-11,1.209637178744106e-10
0.0,-1.43431e-10,1.38272e-11,1.440959514380609e-10
