# DRS4 export. File index 0, run_id=./medidas/run_20260925_105124
# Columns: t[ns] u1[mV] u2[mV] u3[mV]
Event #2  ts=2026-09-25 10:51:28.194  [SELECTED]
  t[ns]  u1[mV]  u2[mV]  u3[mV]
  0.000    -3.9    13.2    -8.0
  1.660    38.7     4.1    15.6
  3.320    21.2     5.0     8.3
  4.980    -1.9    -1.9   -15.8
  6.641   -42.9   -16.3   -11.8
  8.301   -25.6   -23.5   -26.5
  9.961     2.4   -14.6   -15.5
 11.621    22.5     1.7    11.5
 13.281     9.7     3.7   -13.2
 14.941   -11.1   -20.4   -15.6
 16.602   -26.7    -8.6     5.6
 18.262   -24.9   -14.1   -30.3
 19.922    -3.0   -24.6   -23.9
 21.582     8.0     5.1    18.3
 23.242    14.5     3.9   -13.5
 24.902     0.9   -21.2   -28.4
 26.562   -29.8    -3.4    -0.6
 28.223   -18.6    -8.8   -27.7
 29.883   -10.6   -20.4   -25.7
 31.543     1.5    -2.3    13.6
 33.203     4.4    -3.5   -20.4
 34.863     2.4   -13.9   -20.2
 36.523   -19.2    -4.3     8.8
 38.184   -19.1    -7.4   -22.0
 39.844   -15.8   -19.0   -30.2
 41.504    -0.9    -0.1     8.7
 43.164     1.8    -0.2   -12.3
 44.824    -6.8   -17.8   -15.2
 46.484    -1.9    -8.2    -2.5
 48.145    -6.9   -13.1   -26.4
 49.805   -13.6   -21.5   -29.6
 51.465   -13.9    -8.0    -4.6
 53.125    -2.9     0.9    -2.1
 54.785    -2.0   -17.1   -24.5
 56.445    -2.0    -2.2     1.8
 58.105    -2.4    -3.5    -1.8
 59.766    -4.6   -12.3   -14.8
 61.426   -18.1   -21.1   -11.6
 63.086    -9.8     6.2    -2.9
 64.746     1.0    -4.8   -26.7
 66.406     2.2    -6.8   -22.9
 68.066    -4.4    -0.1    11.1
 69.727    -8.1   -12.1    -5.0
 71.387   -10.4   -33.2   -30.5
 73.047   -15.0    -3.1     2.5
 74.707   -13.5    14.8    -3.6
 76.367     4.0    -2.2    -4.3
 78.027     1.8    -5.2     1.4
 79.688     1.8   -12.4     2.2
 81.348    -8.7   -28.8   -20.8
 83.008   -19.8   -12.1    -8.6
 84.668   -19.0    10.4    -6.0
 86.328     4.7    13.1     5.7
 87.988     7.3     0.8     7.7
 89.648    -7.8   -43.5   -25.5
 91.309    -8.4   -44.2   -28.0
 92.969   -21.2   -15.2     0.7
 94.629   -21.8    13.1   -15.2
 96.289    -6.1    11.6   -16.1
 97.949     5.3    10.5    12.1
 99.609     3.8   -43.6   -20.4
