# DRS4 export. File index 962, run_id=./medidas/run_20260918_135753
# Columns: t[ns] u1[mV] u2[mV] u3[mV]
Event #368267  ts=2026-09-21 22:20:22.091  [SELECTED]
  t[ns]  u1[mV]  u2[mV]  u3[mV]
  0.000     1.3    -5.7    -7.2
  1.660    31.7    -3.4    31.2
  3.320    29.7     9.5    -3.4
  4.980   -23.9     1.7   -21.1
  6.641   -63.6    -6.5   -19.6
  8.301   -55.7   -14.3   -24.6
  9.961    22.9   -27.2     4.5
 11.621    38.5    -4.9    20.3
 13.281    35.0    19.7    16.9
 14.941    -8.5     5.8   -16.4
 16.602   -60.5   -13.2   -27.9
 18.262   -22.4   -29.1   -19.8
 19.922    14.6   -26.0    -0.4
 21.582    39.2     3.8    21.6
 23.242   -17.2     3.5   -16.4
 24.902   -35.0    -2.1   -24.9
 26.562   -49.2   -22.0   -26.4
 28.223   -12.0   -24.7   -11.6
 29.883    10.0   -18.1    -4.7
 31.543    37.0     4.6    12.9
 33.203    33.1     5.4    14.5
 34.863   -23.3     3.5   -19.0
 36.523   -43.0   -14.8   -26.4
 38.184    -4.6   -26.1   -17.1
 39.844     2.4   -22.5   -10.2
 41.504    19.5    10.4    16.0
 43.164   -33.5    -7.8   -21.4
 44.824   -31.5    -8.9   -20.9
 46.484   -37.6   -11.1    -9.7
 48.145   -19.5   -19.2   -11.6
 49.805    18.3    -5.1     2.7
 51.465    11.6     9.9    13.2
 53.125   -12.8    -6.4   -18.3
 54.785   -23.5   -14.2   -20.1
 56.445   -29.4   -12.3   -13.5
 58.105     8.1    -9.9    -8.5
 59.766     2.7    -0.8     4.4
 61.426    -5.9     6.0     2.0
 63.086   -13.1     7.7    -6.4
 64.746   -22.6   -20.8   -10.5
 66.406    -3.7   -14.3   -12.8
 68.066    14.1    -3.0     0.5
 69.727    10.4    -3.9     4.9
 71.387    -7.2    -2.2    -3.9
 73.047   -22.1   -12.6   -12.1
 74.707   -16.6   -13.2   -10.6
 76.367    18.1    -5.1   -15.2
 78.027    16.5    -0.2     2.0
 79.688    -6.3     2.3    11.0
 81.348   -15.5    -5.4   -14.1
 83.008   -21.1   -20.5   -20.3
 84.668   -24.5    -9.9    -4.9
 86.328     4.7     1.6     0.8
 87.988    16.7    -9.6   -11.3
 89.648    -7.8    -4.5    -6.4
