# DRS4 export. File index 0, run_id=./medidas/run_20260911_121022
# Columns: t[ns] u1[mV] u2[mV] u3[mV]
Event #0  ts=2026-09-11 12:10:22.449  [SELECTED]
  t[ns]  u1[mV]  u2[mV]  u3[mV]
  0.000     0.2     7.3   -10.6
  1.660     7.8    14.8     3.9
  3.320     4.3    19.8   -14.9
  4.980    -9.6     6.5   -21.6
  6.641   -26.1   -15.1   -10.9
  8.301     1.0   -33.8    -1.7
  9.961     4.8    -1.9     4.2
 11.621     3.2    16.7    -1.5
 13.281     1.7    21.8   -10.6
 14.941   -20.2    -6.3   -16.7
 16.602   -15.0   -24.8    -0.4
 18.262    -3.8   -26.5     0.2
 19.922     4.8   -10.8     6.0
 21.582     3.0    12.7    -8.5
 23.242    -4.1    18.8   -23.3
 24.902   -30.1    -9.9   -10.9
 26.562   -14.7   -22.9    -2.5
 28.223    10.8   -20.1    -1.3
 29.883     8.4   -11.1     7.6
 31.543     1.7    -4.0     1.5
 33.203    -8.7    14.8   -27.1
 34.863   -23.9    -9.9    -9.9
 36.523   -19.0   -19.7    -2.9
 38.184     4.0   -15.9    -1.8
 39.844     5.7   -12.9     2.3
 41.504     7.6    -5.0     4.4
 43.164   -11.2    10.9   -23.7
 44.824   -28.7    -8.2   -19.4
 46.484   -11.1   -18.3    -3.2
 48.145     0.0   -14.1    -2.2
 49.805     7.9    -9.2     5.1
 51.465     1.4     1.7    -0.8
 53.125    -5.0    11.9   -13.8
 54.785   -23.9   -13.5   -13.0
 56.445   -15.7   -17.6    -3.7
 58.105     4.5   -11.9    -6.8
 59.766     7.0   -11.6     3.4
 61.426     1.3    -4.5     3.8
 63.086    -5.6    13.5   -20.4
 64.746   -22.3   -23.0    -3.4
 66.406   -15.2   -10.8     7.6
 68.066   -10.3    -6.1     7.9
 69.727    12.0   -13.8   -17.6
 71.387    -8.7   -12.1    -7.3
 73.047   -13.0    15.6    -1.2
 74.707    -5.9    -3.5   -20.1
 76.367   -12.6   -22.8    -4.0
 78.027     6.1    -5.6    -9.1
 79.688     7.5   -12.7   -21.5
 81.348     0.4   -11.7   -26.3
 83.008   -20.2     7.9     1.0
 84.668    -4.5     8.3   -14.0
 86.328   -12.4   -12.1    -3.6
 87.988     9.7   -14.3    12.6
 89.648     9.9   -13.7   -12.5
 91.309   -26.8    -2.7   -16.6
 92.969   -27.2    -2.8   -14.5
 94.629   -12.0    10.6    -9.7
